id,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
313,male,group D,bachelor's degree,standard,completed,67,61,68
314,female,group C,associate's degree,free/reduced,completed,68,67,69
315,female,group C,bachelor's degree,standard,completed,59,64,75
316,male,group C,high school,standard,none,71,66,65
317,female,group D,master's degree,standard,completed,77,82,91
318,male,group C,associate's degree,standard,none,83,72,78
319,male,group B,bachelor's degree,standard,none,63,71,69
320,female,group D,associate's degree,free/reduced,none,56,65,63
321,female,group C,high school,free/reduced,completed,67,79,84
322,female,group E,high school,standard,none,75,86,79
323,female,group C,some college,standard,none,71,81,80
324,female,group C,some high school,free/reduced,none,43,53,53
325,female,group C,high school,free/reduced,none,41,46,43
326,female,group C,some college,standard,none,82,90,94
327,male,group C,some college,standard,none,61,61,62
328,male,group A,some college,free/reduced,none,28,23,19
329,male,group C,associate's degree,standard,completed,82,75,77
330,female,group B,some high school,standard,none,41,55,51
331,male,group C,high school,standard,none,71,60,61
332,male,group C,associate's degree,standard,none,47,37,35
333,male,group E,associate's degree,standard,completed,62,56,53
334,male,group B,associate's degree,standard,none,90,78,81
335,female,group C,bachelor's degree,standard,none,83,93,95
336,female,group B,some college,free/reduced,none,61,68,66
337,male,group D,some high school,standard,completed,76,70,69
338,male,group C,associate's degree,standard,none,49,51,43
339,female,group B,some high school,free/reduced,none,24,38,27
340,female,group D,some high school,free/reduced,completed,35,55,60
341,male,group C,high school,free/reduced,none,58,61,52
342,female,group C,high school,standard,none,61,73,63
343,female,group B,high school,standard,completed,69,76,74
344,male,group D,associate's degree,standard,completed,67,72,67
345,male,group D,some college,standard,none,79,73,67
346,female,group C,high school,standard,none,72,80,75
347,male,group B,some college,standard,none,62,61,57
348,female,group C,bachelor's degree,standard,completed,77,94,95
349,male,group D,high school,free/reduced,none,75,74,66
350,male,group E,associate's degree,standard,none,87,74,76
351,female,group B,bachelor's degree,standard,none,52,65,69
352,male,group E,some college,standard,none,66,57,52
353,female,group C,some college,standard,completed,63,78,80
354,female,group C,associate's degree,standard,none,46,58,57
355,female,group C,some college,standard,none,59,71,70
356,female,group B,bachelor's degree,standard,none,61,72,70
357,male,group A,associate's degree,standard,none,63,61,61
358,female,group C,some college,free/reduced,completed,42,66,69
359,male,group D,some college,free/reduced,none,59,62,61
360,female,group D,some college,standard,none,80,90,89
361,female,group B,high school,standard,none,58,62,59
362,male,group B,some high school,standard,completed,85,84,78
363,female,group C,some college,standard,none,52,58,58
364,female,group D,some high school,free/reduced,none,27,34,32
365,male,group C,some college,standard,none,59,60,58
366,male,group A,bachelor's degree,free/reduced,completed,49,58,60
367,male,group C,high school,standard,completed,69,58,53
368,male,group C,bachelor's degree,free/reduced,none,61,66,61
369,female,group A,some high school,free/reduced,none,44,64,58
370,female,group D,some high school,standard,none,73,84,85
371,male,group E,some college,standard,none,84,77,71
372,female,group C,some college,free/reduced,completed,45,73,70
373,male,group D,some high school,standard,none,74,74,72
374,female,group D,some college,standard,completed,82,97,96
375,female,group D,bachelor's degree,standard,none,59,70,73
376,male,group E,associate's degree,free/reduced,none,46,43,41
377,female,group D,some high school,standard,none,80,90,82
378,female,group D,master's degree,free/reduced,completed,85,95,100
379,female,group A,some high school,standard,none,71,83,77
380,male,group A,bachelor's degree,standard,none,66,64,62
381,female,group B,associate's degree,standard,none,80,86,83
382,male,group C,associate's degree,standard,completed,87,100,95
383,male,group C,master's degree,free/reduced,none,79,81,71
384,female,group E,some high school,free/reduced,none,38,49,45
385,female,group A,some high school,free/reduced,none,38,43,43
386,female,group E,some college,standard,none,67,76,75
387,female,group E,bachelor's degree,standard,none,64,73,70
388,female,group C,associate's degree,free/reduced,none,57,78,67
389,female,group D,high school,standard,none,62,64,64
390,male,group D,master's degree,standard,none,73,70,75
391,male,group E,some high school,free/reduced,completed,73,67,59
392,female,group D,some college,standard,none,77,68,77
393,male,group E,some college,standard,none,76,67,67
394,male,group C,associate's degree,standard,completed,57,54,56
395,female,group C,some high school,standard,completed,65,74,77
396,male,group A,high school,free/reduced,none,48,45,41
397,female,group B,high school,free/reduced,none,50,67,63
398,female,group C,associate's degree,standard,none,85,89,95
399,male,group B,some high school,standard,none,74,63,57
400,male,group D,some high school,standard,none,60,59,54
401,female,group C,some high school,standard,completed,59,54,67
402,male,group A,some college,standard,none,53,43,43
403,female,group A,some college,free/reduced,none,49,65,55
404,female,group D,high school,standard,completed,88,99,100
405,female,group C,high school,standard,none,54,59,62
406,female,group C,some high school,standard,none,63,73,68
407,male,group B,associate's degree,standard,completed,65,65,63
408,female,group B,associate's degree,standard,none,82,80,77
409,female,group D,high school,free/reduced,completed,52,57,56
410,male,group D,associate's degree,standard,completed,87,84,85
411,female,group D,master's degree,standard,completed,70,71,74
412,male,group E,some college,standard,completed,84,83,78
413,male,group D,associate's degree,standard,none,71,66,60
414,male,group B,some high school,standard,completed,63,67,67
415,female,group C,bachelor's degree,free/reduced,completed,51,72,79
416,male,group E,high school,standard,none,84,73,69
417,male,group C,bachelor's degree,standard,completed,71,74,68
418,male,group C,associate's degree,standard,none,74,73,67
419,male,group D,some college,standard,none,68,59,62
420,male,group E,high school,free/reduced,completed,57,56,54
421,female,group C,associate's degree,free/reduced,completed,82,93,93
422,female,group D,high school,standard,completed,57,58,64
423,female,group D,master's degree,free/reduced,completed,47,58,67
424,female,group A,some high school,standard,completed,59,85,80
425,male,group B,some college,free/reduced,none,41,39,34
426,female,group C,some college,free/reduced,none,62,67,62
427,male,group C,bachelor's degree,standard,none,86,83,86
428,male,group C,some high school,free/reduced,none,69,71,65
429,male,group A,some high school,free/reduced,none,65,59,53
430,male,group C,some high school,free/reduced,none,68,63,54
431,male,group C,associate's degree,free/reduced,none,64,66,59
432,female,group C,high school,standard,none,61,72,70
433,male,group C,high school,standard,none,61,56,55
434,female,group A,some high school,free/reduced,none,47,59,50
435,male,group C,some high school,standard,none,73,66,66
436,male,group C,some college,free/reduced,completed,50,48,53
437,male,group D,associate's degree,standard,none,75,68,64
438,male,group D,associate's degree,free/reduced,none,75,66,73
439,male,group C,high school,standard,none,70,56,51
440,male,group D,some high school,standard,completed,89,88,82
441,female,group C,some college,standard,completed,67,81,79
442,female,group D,high school,standard,none,78,81,80
443,female,group A,some high school,free/reduced,none,59,73,69
444,female,group B,associate's degree,standard,none,73,83,76
445,male,group A,some high school,free/reduced,none,79,82,73
446,female,group C,some high school,standard,completed,67,74,77
447,male,group D,some college,free/reduced,none,69,66,60
448,male,group C,high school,standard,completed,86,81,80
449,male,group B,high school,standard,none,47,46,42
450,male,group B,associate's degree,standard,none,81,73,72
451,female,group C,some college,free/reduced,completed,64,85,85
452,female,group E,some college,standard,none,100,92,97
453,female,group C,associate's degree,free/reduced,none,65,77,74
454,male,group C,some college,free/reduced,none,65,58,49
455,female,group C,associate's degree,free/reduced,none,53,61,62
456,male,group C,bachelor's degree,free/reduced,none,37,56,47
457,female,group D,bachelor's degree,standard,none,79,89,89
458,male,group D,associate's degree,free/reduced,none,53,54,48
459,female,group E,bachelor's degree,standard,none,100,100,100
460,male,group B,high school,standard,completed,72,65,68
461,male,group C,bachelor's degree,free/reduced,none,53,58,55
462,male,group B,some college,free/reduced,none,54,54,45
463,female,group E,some college,standard,none,71,70,76
464,female,group C,some college,free/reduced,none,77,90,91
465,male,group A,bachelor's degree,standard,completed,75,58,62
466,female,group C,some college,standard,none,84,87,91
467,female,group D,associate's degree,free/reduced,none,26,31,38
468,male,group A,high school,free/reduced,completed,72,67,65
469,female,group A,high school,free/reduced,completed,77,88,85
470,male,group C,some college,standard,none,91,74,76
471,female,group C,associate's degree,standard,completed,83,85,90
472,female,group C,high school,standard,none,63,69,74
473,female,group C,associate's degree,standard,completed,68,86,84
474,female,group D,some high school,standard,none,59,67,61
475,female,group B,associate's degree,standard,completed,90,90,91
476,female,group D,bachelor's degree,standard,completed,71,76,83
477,male,group E,bachelor's degree,standard,completed,76,62,66
478,male,group D,associate's degree,standard,none,80,68,72
479,female,group D,master's degree,standard,none,55,64,70
480,male,group E,associate's degree,standard,none,76,71,67
481,male,group B,high school,standard,completed,73,71,68
482,female,group D,associate's degree,free/reduced,none,52,59,56
483,male,group C,some college,free/reduced,none,68,68,61
484,male,group A,high school,standard,none,59,52,46
485,female,group B,associate's degree,standard,none,49,52,54
486,male,group C,high school,standard,none,70,74,71
487,male,group D,some college,free/reduced,none,61,47,56
488,female,group C,associate's degree,free/reduced,none,60,75,74
489,male,group B,some high school,standard,completed,64,53,57
490,male,group A,associate's degree,free/reduced,completed,79,82,82
491,female,group A,associate's degree,free/reduced,none,65,85,76
492,female,group C,associate's degree,standard,none,64,64,70
493,female,group C,some college,standard,none,83,83,90
494,female,group C,bachelor's degree,standard,none,81,88,90
495,female,group B,high school,standard,none,54,64,68
496,male,group D,high school,standard,completed,68,64,66
497,female,group C,some college,standard,none,54,48,52
498,female,group D,some college,free/reduced,completed,59,78,76
499,female,group B,some high school,standard,none,66,69,68
500,male,group E,some college,standard,none,76,71,72
501,female,group D,master's degree,standard,none,74,79,82
502,female,group B,associate's degree,standard,completed,94,87,92
503,male,group C,some college,free/reduced,none,63,61,54
504,female,group E,associate's degree,standard,completed,95,89,92
505,female,group D,master's degree,free/reduced,none,40,59,54
506,female,group B,some high school,standard,none,82,82,80
507,male,group A,high school,standard,none,68,70,66
508,male,group B,bachelor's degree,free/reduced,none,55,59,54
509,male,group C,master's degree,standard,none,79,78,77
510,female,group C,bachelor's degree,standard,none,86,92,87
511,male,group D,some college,standard,none,76,71,73
512,male,group A,some high school,standard,none,64,50,43
513,male,group D,some high school,free/reduced,none,62,49,52
514,female,group B,some high school,standard,completed,54,61,62
515,female,group B,master's degree,free/reduced,completed,77,97,94
516,female,group C,some high school,standard,completed,76,87,85
517,female,group D,some college,standard,none,74,89,84
518,female,group E,some college,standard,completed,66,74,73
519,female,group D,some high school,standard,completed,66,78,78
520,female,group B,high school,free/reduced,completed,67,78,79
521,male,group D,some college,standard,none,71,49,52
522,female,group C,associate's degree,standard,none,91,86,84
523,male,group D,bachelor's degree,standard,none,69,58,57
524,male,group C,master's degree,free/reduced,none,54,59,50
525,male,group C,high school,standard,completed,53,52,49
526,male,group E,some college,standard,none,68,60,59
527,male,group C,some high school,free/reduced,completed,56,61,60
528,female,group C,high school,free/reduced,none,36,53,43
529,female,group D,bachelor's degree,free/reduced,none,29,41,47
530,female,group C,associate's degree,standard,none,62,74,70
531,female,group C,associate's degree,standard,completed,68,67,73
532,female,group C,some high school,standard,none,47,54,53
533,male,group E,associate's degree,standard,completed,62,61,58
534,female,group E,associate's degree,standard,completed,79,88,94
535,male,group B,high school,standard,completed,73,69,68
536,female,group C,bachelor's degree,free/reduced,completed,66,83,83
537,male,group C,associate's degree,standard,completed,51,60,58
538,female,group D,high school,standard,none,51,66,62
539,male,group E,bachelor's degree,standard,completed,85,66,71
540,male,group A,associate's degree,standard,completed,97,92,86
541,male,group C,high school,standard,completed,75,69,68
542,male,group D,associate's degree,free/reduced,completed,79,82,80
543,female,group C,associate's degree,standard,none,81,77,79
544,female,group D,associate's degree,standard,none,82,95,89
545,female,group D,master's degree,standard,none,64,63,66
546,male,group E,some high school,free/reduced,completed,78,83,80
547,female,group A,some high school,standard,completed,92,100,97
548,male,group C,high school,standard,completed,72,67,64
549,female,group C,high school,free/reduced,none,62,67,64
550,male,group C,master's degree,standard,none,79,72,69
551,male,group C,some high school,free/reduced,none,79,76,65
552,male,group B,bachelor's degree,free/reduced,completed,87,90,88
553,female,group B,associate's degree,standard,none,40,48,50
554,male,group D,some college,free/reduced,none,77,62,64
555,male,group E,associate's degree,standard,none,53,45,40
556,female,group C,some college,free/reduced,none,32,39,33
557,female,group C,associate's degree,standard,completed,55,72,79
558,male,group C,master's degree,free/reduced,none,61,67,66
559,female,group B,associate's degree,free/reduced,none,53,70,70
560,male,group D,some high school,standard,none,73,66,62
561,female,group D,some college,standard,completed,74,75,79
562,female,group C,some college,standard,none,63,74,74
563,male,group C,bachelor's degree,standard,completed,96,90,92
564,female,group D,some college,free/reduced,completed,63,80,80
565,male,group B,bachelor's degree,free/reduced,none,48,51,46
566,male,group B,associate's degree,standard,none,48,43,45
567,female,group E,bachelor's degree,free/reduced,completed,92,100,100
568,female,group D,master's degree,free/reduced,completed,61,71,78
569,male,group B,high school,free/reduced,none,63,48,47
570,male,group D,bachelor's degree,free/reduced,none,68,68,67
571,male,group B,some college,standard,completed,71,75,70
572,male,group A,bachelor's degree,standard,none,91,96,92
573,female,group C,some college,standard,none,53,62,56
574,female,group C,high school,free/reduced,completed,50,66,64
575,female,group E,high school,standard,none,74,81,71
576,male,group A,associate's degree,free/reduced,completed,40,55,53
577,male,group A,some college,standard,completed,61,51,52
578,female,group B,high school,standard,none,81,91,89
579,female,group B,some college,free/reduced,completed,48,56,58
