titles,years,genres,imdb,runtime,description,stars,votes,type,original
Trolls: The Beat Goes On!,2018,"Animation, Short, Adventure",5.8,25 min,"The party keeps on going for Poppy, Branch and the others from DreamWorks Animation's hit Trolls (2016).","Amanda Leighton, Sean T. Krishnan, Kevin Michael Richardson, Skylar Astin",656,TV Show,Netflix
Trollhunters: Tales of Arcadia,2016,"Animation, Action, Adventure",8.5,23 min,"An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.","Charlie Saxton, Lexi Medrano, Anton Yelchin, Kelsey Grammer","12,884",TV Show,Netflix
Trinkets,2019,"Comedy, Crime, Drama",7.1,30 min,An unexpected friendship forms when three teenage girls meet in Shoplifters Anonymous.,"Brianna Hildebrand, Kiana Madeira, Quintessa Swindell, Odiseas Georgiadis","6,171",TV Show,Netflix
Trigger Warning with Killer Mike,2019,"Documentary, Comedy",7,30 min,"Conducting a different social experiment in each episode -- including only spending money in the black community for three days, helping the Crips cash in on its personal brand by launching... See full summary »","Killer Mike, Mario Alberto Pagan, Sir Maejor, Hasan 'Hocus45th' Harris","1,150",TV Show,Netflix
Trial by Media,2020,"Documentary, Crime",7.2,,"In our modern media landscape where real courtroom dramas have increasingly been transformed into a form of entertainment, this series reflects on some of the most dramatic and memorable trials in recent history.","Al Sharpton, Frank Amedure Jr., Patti Blagojevich, Kadiatou Diallo","1,978",TV Show,Netflix
Triad Princess,2019,"Adventure, Drama",7,,A woman who grows up in the shadow of her mafia-affiliated father. She defies his wishes and takes a gig as an undercover bodyguard for a famous actress.,"Olivia Castanho, Cecilia Choi, Sing Hom, Dylan J. Locke",377,TV Show,Netflix
Travelers,2016,"Drama, Mystery, Sci-Fi",8.1,45 min,"Hundreds of years from now, surviving humans discover how to send consciousness back through time, into people of the 21st century, while attempting to change the path of humanity.","Eric McCormack, MacKenzie Porter, Nesta Cooper, Jared Abrahamson","43,846",TV Show,Netflix
Transformers: War for Cybertron Trilogy,2020,"Animation, Action, Sci-Fi",7.5,30 min,Animated series set in the world of battling Autobots and Decepticons.,"Jason Marnocha, Jake Foushee, Linsay Rousseau, Frank Todaro","1,932",TV Show,Netflix
Traitors,2019,Thriller,6.6,60 min,A British civil servant agrees to spy on her own government for the Americans in the aftermath of WWII.,"Emma Appleton, Brandon P Bell, Keeley Hawes, Luke Treadaway","2,195",TV Show,Netflix
Trailer Park Boys: The Animated Series,2019,"Animation, Comedy",7.5,25 min,"Nova Scotia's favorite miscreants have always been super sketchy. Now, carrying on from the Season 12 finale, the boys have become complete cartoons.","John Paul Tremblay, Robb Wells, Mike Smith, Patrick Roach","2,127",TV Show,Netflix
Trailer Park Boys: Out of the Park,2016,"Adventure, Comedy, Crime",6.6,30 min,"Ricky, Julian, and Bubbles go to Europe for a paid vacation and realize when they get there they have to complete tasks in different countries to earn money to party.","John Paul Tremblay, Robb Wells, Mike Smith, Tom Mayhue","1,922",TV Show,Netflix
Trailer Park Boys,2001,"Comedy, Crime",8.4,30 min,Three petty felons have a documentary made about their life in a trailer park.,"John Paul Tremblay, Robb Wells, Mike Smith, John Dunsworth","36,646",TV Show,Netflix
Top Boy,2011,"Crime, Drama, Thriller",8.4,60 min,Two London drug dealers ply their lucrative trade at a public housing estate in East London.,"Ashley Walters, Kane Robinson, Shone Romulus, Micheal Ward","12,286",TV Show,Netflix
Too Hot to Handle,2020,"Game-Show, Reality-TV",4.5,40 min,"On the shores of paradise, gorgeous singles meet and mingle. But there's a twist. To win a $100,000 grand prize, they'll have to give up sex.","Chloe Veitch, David Birtwistle, Francesca Farago, Harry Jowsey","7,239",TV Show,Netflix
Tiny Creatures,2020,"Documentary, Drama, Family",4.8,,Little animals embark on big adventures across the U.S. in a dramatic nature series that explores their hidden worlds and epic survival stories.,"Mike Colter, Louis Labrom-Brown, Mark Amey, Kyle Harper",802,TV Show,Netflix
Tijuana,2019,"Crime, Drama",7.1,45 min,Local news reporters uncover a conspiracy after a Mexican presidential candidate is gunned down in the streets of Tijuana.,"Damián Alcázar, Tamara Vallarta, Rolf Petersen, Claudette Maillé",274,TV Show,Netflix
Tiffany Haddish Presents: They Ready,2019,Comedy,6.2,,Tiffany Haddish introduces her favorite comedians in a series of stand-up performances.,"Tracey Ashley, Tiffany Haddish, April Macie, Flame Monroe",351,TV Show,Netflix
Tidying Up with Marie Kondo,2019,Reality-TV,6.6,40 min,Author Marie Kondo offers tips on the art of keeping your home and workspace tidy and organized.,"Charlotte Hervieux, Marie Iida, Marie Kondo, Jaxon Friend","2,854",TV Show,Netflix
Tidelands,2018,"Crime, Drama, Fantasy",7,60 min,"After an ex-con returns to her fishing village, a dead body leads her to uncover the secrets of the town and its half-siren, half-human residents.","Charlotte Best, Marco Pigossi, Aaron Jakubenko, Mattias Inwood","6,293",TV Show,Netflix
The Worst Witch,2017,"Family, Fantasy",7.3,30 min,Mildred lives an ordinary until the day that Maud Spellbody crashes her broomstick into their balcony. Maud then introduces Mildred to Cackle's Academy - a school for young witches set high on a mountaintop.,"Raquel Cassidy, Jenny Richardson, Clare Higgins, Dagny Rollins","1,774",TV Show,Netflix
The Woods,2020,"Crime, Drama, Mystery",6.5,51 min,"Twenty years earlier, the Kopcinski family dealt with a horrific situation involving the woods surrounding a summer camp. Now, one of the original homicide victims has resurfaced--with a ... See full summary »","Grzegorz Damiecki, Agnieszka Grochowska, Hubert Milkowski, Wiktoria Filus","3,492",TV Show,Netflix
The Witcher: A Look Inside the Episodes,2020,"Documentary, Short",7.2,,"With series creator Lauren S. Hissrich as your guide, take an in-depth journey into the stories and themes powering the first season of «The Witcher.»",Lauren Schmidt,22,TV Show,Netflix
The Witcher,2019,"Action, Adventure, Fantasy",8.2,60 min,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Henry Cavill, Freya Allan, Basil Eidenbenz, Anya Chalotra","280,280",TV Show,Netflix
The Who Was? Show,2018,"Short, Adventure, Comedy",6.5,25 min,Fresh voices bring some of the most famous names in history to life. A live-action sketch comedy show based on the series of best-selling books.,"Lilla Crawford, H. Jon Benjamin, Kirrilee Berger, Andrew Daly",503,TV Show,Netflix
The Victims' Game,2020,"Drama, Thriller",7.4,,"After discovering his estranged daughter's link to mysterious murders, a forensic detective with Asperger's syndrome risks everything to solve the case.","Hsiao-chuan Chang, Tsai-Hsing Chang, Wei-Ning Hsu, Shih-Sian Wang",827,TV Show,Netflix
The Valhalla Murders,2019,"Crime, Drama, Mystery",7.1,50 min,Police profiler Arnar is sent back home from Oslo to his native Iceland to investigate the country's first serial killer case. He teams up with the local senior cop Kata.,"Aldís Amah Hamilton, Bergur Ebbi Benediktsson, Edda Björgvinsdóttir, Gunnar Bersi Björnsson","6,829",TV Show,Netflix
The Unremarkable Juanquini,2020,Comedy,4.2,,An inept magician pulls off the trick of his life: accidentally disappearing a wanted criminal during a police raid. Now he's going to pay for that.,"Julián Cerati, Mariana Gómez, Júlio César Herrera, El Mindo",123,TV Show,Netflix
The Umbrella Academy,2019,"Action, Adventure, Comedy",8,60 min,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","Ellen Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman","145,477",TV Show,Netflix
The Toys That Made Us,2017,"Documentary, Comedy, History",8.1,46 min,The minds behind history's most iconic toy franchises discuss the rise (and sometimes fall) of their billion-dollar creations.,"Donald Ian Black, Mark Bellomo, David Vonner, Kirk Bozigian","4,665",TV Show,Netflix
The Stranger,2020,"Crime, Drama, Mystery",7.3,42 min,Follows the lives of suburban families whose secrets and lies are made public by the appearance of a stranger.,"Richard Armitage, Shaun Dooley, Siobhan Finneran, Jacob Dudman","31,278",TV Show,Netflix
The Stranded,2019,"Adventure, Drama, Mystery",6.3,40 min,"When a tsunami strands dozens of teens on an island at their private school, they soon realize no rescuers are coming and they must save themselves.","Papangkorn Lerkchaleampote, Chutawut Phatrakampol, Oabnithi Wiwattanawarang, Chayanit Chansangavej",895,TV Show,Netflix
The Standups,2017,Comedy,6.7,30 min,"Comedy's freshest voices take the stage in LA for six half-hour specials packed with sly jokes, hilarious anecdotes and awkward confessions.","Dan Soder, Beth Stelling, Nate Bargatze, Deon Cole",934,TV Show,Netflix
The Staircase,2004,"Documentary, Crime, Drama",7.9,629 min,The high-profile murder trial of American novelist Michael Peterson following the death of his wife in 2001.,"Michael Peterson, David Rudolf, Ron Guerette, Martha Ratliff","17,762",TV Show,Netflix
The Society,2019,"Drama, Mystery, Sci-Fi",7.1,58 min,"When everyone else mysteriously vanishes from their wealthy town, the teen residents of West Ham must forge their own society to survive.","Kathryn Newton, Gideon Adlon, Sean Berdy, Natasha Liu Bordizzo","18,145",TV Show,Netflix
The School Nurse Files,2020,"Comedy, Drama, Fantasy",6.4,,"Ahn Eun Young, a school nurse who has powers that allow her to chase ghosts, is appointed to a new high school where mysterious incidents take place.","Yu-mi Jung, Joo-Hyuk Nam, Shim Dal Gi, Ju-Young Lee",516,TV Show,Netflix
The Ranch,2016,"Comedy, Drama, Western",7.5,30 min,The son of a Colorado rancher returns home from a semi-pro football career to run the family business.,"Ashton Kutcher, Sam Elliott, Grady Lee Richmond, Elisha Cuthbert","32,905",TV Show,Netflix
The Rain,2018,"Drama, Sci-Fi, Thriller",6.3,45 min,"After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety.","Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard, Lukas Løkken","29,435",TV Show,Netflix
The Punisher,2017,"Action, Crime, Drama",8.5,53 min,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.","Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore","178,383",TV Show,Netflix
The Protector,2018,"Action, Fantasy, Sci-Fi",6.7,40 min,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.","Çagatay Ulusoy, Hazar Ergüçlü, Okan Yalabik, Burçin Terzioglu","30,701",TV Show,Netflix
The Politician,2019,"Comedy, Drama",7.5,42 min,"Payton Hobart, a student from Santa Barbara, has known since age seven that he's going to be President of the United States. But first he'll have to navigate the most treacherous political landscape of all: Saint Sebastian High School.","Ben Platt, Zoey Deutch, Lucy Boynton, Julia Schlaepfer","17,363",TV Show,Netflix
The Playbook,2020,"Documentary, Sport",7.5,,The Playbook profiles legendary coaches as they share the rules they live by to achieve success in sports and in life.,"Jill Ellis, Patrick Mouratoglou, José Mourinho, Glenn 'Doc' Rivers",691,TV Show,Netflix
The Order,2019,"Drama, Fantasy, Horror",6.8,60 min,"Out to avenge his mother's death, a college student pledges to a secret order and lands in a war between werewolves and practitioners of dark magic.","Jake Manley, Sarah Grey, Adam DiMarco, Louriza Tronco","18,951",TV Show,Netflix
The OA,2016,"Drama, Fantasy, Mystery",7.8,60 min,"Having gone missing seven years ago, the previously blind Prairie returns home, now in her twenties with her sight restored. While many believe she is a miracle, others worry that she could be dangerous.","Brit Marling, Jason Isaacs, Scott Wilson, Alice Krige","88,167",TV Show,Netflix
The New Legends of Monkey,2018,"Action, Adventure, Comedy",6.5,24 min,"Entering the mythical world of the Monkey King, where a young monk and his group of disciples are on a journey to collect scrolls of Buddhist wisdom.","Chai Hansen, Luciane Buchanan, Josh Thomson, Emilie Cocquerel","3,387",TV Show,Netflix
The Neighbor,2019,Comedy,6.5,30 min,"Javier is going through a bad patch: he can hardly make it to the end of the month, his business of T-shirts with de-motivational slogans is not quite getting the attention, and his ... See full summary »","Quim Gutiérrez, Clara Lago, Adrián Pino, Catalina Sopelana","1,352",TV Show,Netflix
The Naked Director,2019,"Biography, Drama",7.8,48 min,Follows the story of Toru Muranishi's unusual and dramatic life filled with big ambitions as well as spectacular setbacks in his attempt to turn Japan's porn industry on its head,"Takayuki Yamada, Shinnosuke Mitsushima, Misato Morita, Tetsuji Tamayama","3,907",TV Show,Netflix
The Mr. Peabody & Sherman Show,2015,"Animation, Short, Adventure",5.7,23 min,The world's smartest dog and his boy host a TV talk show.,"Chris Parnell, Max Charles, David P. Smith, Laura Prats",321,TV Show,Netflix
The Movies That Made Us,2019,Documentary,7.8,60 min,The histories of classic popular movies are examined.,"Donald Ian Black, Jennifer Julian, William Atherton, Richard Edlund","2,470",TV Show,Netflix
The Midnight Gospel,2020,"Animation, Adventure, Comedy",8.3,23 min,"Clancy, a spacecaster with a malfunctioning multiverse simulator, leaves the comfort of his home to interview beings living in dying worlds.","Phil Hendrie, Duncan Trussell, Joey Diaz, Doug Lussenhop","10,484",TV Show,Netflix
The Mechanism,2018,"Crime, Drama, Thriller",8.4,41 min,Dramatic fiction series loosely inspired by an investigation of corruption in Brazil's private and state oil companies and construction companies.,"Caroline Abras, Selton Mello, Enrique Diaz, Jonathan Haagensen","35,286",TV Show,Netflix
The Magic School Bus Rides Again,2017,"Animation, Adventure, Family",6.2,26 min,Ms. Frizzle and her class along with an inventive high-tech bus that invites children on high-flying hijinks that introduce the incredible world of science.,"Mikaela Blake, Gabby Clarke, Lynsey Pham, Birva Pandya",620,TV Show,Netflix
The Letter for the King,2020,"Action, Adventure, Family",5.9,,"Tiuri, a teenage squire, answers a call for help that sends him on a perilous mission across the three kingdoms to deliver a secret letter to the King.","Amir Wilson, Ruby Ashbourne Serkis, Thaddea Graham, Islam Bouakkaz","5,653",TV Show,Netflix
The Letdown,2017,Comedy,7.5,30 min,"Audrey is determined not to be defined by motherhood. In theory, this seems fairly easy. In practice, her career-focused husband, self-obsessed mother, and fancy-free best friend make it damn-near impossible.","Alison Bell, Duncan Fellows, Leon Ford, Sacha Horler","2,610",TV Show,Netflix
The Last Word,2020,"Comedy, Drama",7,40 min,"While still working through her husband's recent death, a widow offers her services as an eulogy speaker. With her fresh personality, she is soon known as a fun alternative to the other typically somber German eulogy speakers.","Anke Engelke, Claudia Geisler-Bading, Nina Gummich, Aaron Hilmer",595,TV Show,Netflix
The Last Kingdom,2015,"Action, Drama, History",8.4,60 min,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.","Alexander Dreymon, Eliza Butterworth, Ian Hart, Arnas Fedaravicius","79,091",TV Show,Netflix
The Last Kids on Earth,2019,"Animation, Adventure, Comedy",7.5,,"Young teenager Jack Sullivan and a group of friends live in a decked-out tree house, playing video games, eating candy, and fighting zombies in the aftermath of a monster apocalypse.","Nick Wolfhard, Montse Hernandez, Garland Whitt, Charles Demers",737,TV Show,Netflix
The Kominsky Method,2018,"Comedy, Drama",8.2,30 min,"An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.","Michael Douglas, Alan Arkin, Sarah Baker, Nancy Travis","22,946",TV Show,Netflix
The Killing,2011,"Crime, Drama, Mystery",8.2,45 min,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car.","Mireille Enos, Joel Kinnaman, Billy Campbell, Liam James","96,653",TV Show,Netflix
The Joel McHale Show with Joel McHale,2018,Comedy,7.2,30 min,"Joel McHale, the snarky star of Community (2009), ridicules the silliest moments reality television, internet videos and TV from around the world have to offer. Each episode also features celebrity guests and a couple of sketches.","Joel McHale, Paul Feig, Brad Stevens, Dominic DeLeo","2,157",TV Show,Netflix
